Cell_type	Group	Value
MEIS2	Pre	1.025633554
LHX6	Pre	0.63082871
FEZF1	Pre	0.386278507
TBX3	Pre	0.641669054
SIX3	Pre	0.398064561
OTP	Pre	1.199240153
SIM1	Pre	0.687216952
FOXB1	Pre	0.554031738
MEIS2	Peri	0.557061773
LHX6	Peri	0.223786912
FEZF1	Peri	0.547834073
TBX3	Peri	0.743363588
SIX3	Peri	0.907438688
OTP	Peri	0.556295878
SIM1	Peri	0.326290933
FOXB1	Peri	0.876005187
MEIS2	Late_peri	0.213606877
LHX6	Late_peri	0.356027336
FEZF1	Late_peri	0.541937966
TBX3	Late_peri	0.345764795
SIX3	Late_peri	1.070672622
OTP	Late_peri	0.75646278
SIM1	Late_peri	0.726834171
FOXB1	Late_peri	0.331261332
MEIS2	Post	0.677025507
LHX6	Post	0.172973892
FEZF1	Post	0.209537065
TBX3	Post	0.233748394
SIX3	Post	0.33870912
OTP	Post	0.47917609
SIM1	Post	0.496522089
FOXB1	Post	0.412232477
MEIS2	Late_post	0.83259468
LHX6	Late_post	0.549082254
FEZF1	Late_post	0.496436145
TBX3	Late_post	0.799402922
SIX3	Late_post	0.575056357
OTP	Late_post	0.611436495
SIM1	Late_post	0.592215733
FOXB1	Late_post	0.679743072
