Cell_type	Group	Value
Astrocyte	< 45	2.628878871
Endothelial_cell	< 45	0.314863492
Ependymocyte	< 45	0.516348518
Microglia	< 45	2.157362689
Neuron	< 45	0.696929902
Oligodendrocyte	< 45	0.93066905
OPC	< 45	0.990811123
Pericyte	< 45	0.298405227
Tanycyte	< 45	0.28351303
VLMC	< 45	0.204209406
Astrocyte	46-50	0.482798714
Endothelial_cell	46-50	0.559872158
Ependymocyte	46-50	0.46093705
Microglia	46-50	1.936244948
Neuron	46-50	0.972955527
Oligodendrocyte	46-50	0.962559954
OPC	46-50	0.769062913
Pericyte	46-50	0.501004215
Tanycyte	46-50	0.347487901
VLMC	46-50	0.596872147
Astrocyte	51-55	0.962583066
Endothelial_cell 51-55	1.478259062
Ependymocyte	51-55	0.600501827
Microglia	Late_peri	1.443012745
Neuron	51-55	1.305490674
Oligodendrocyte	Late_peri	1.196455858
OPC	51-55	0.901087342
Pericyte	51-55	0.942661049
Tanycyte	51-55	0.922543603
VLMC	51-55 0.882925204
Astrocyte	56-60	0.977634537
Endothelial_cell	56-60	0.945529332
Ependymocyte	56-60	0.691021961
Microglia	56-60	1.95438631
Neuron	56-60	0.730935278
Oligodendrocyte	56-60	1.12813864
OPC	56-60	1.205806215
Pericyte	56-60	0.99226169
Tanycyte	56-60	0.451105678
VLMC	56-60	0.704778131
Astrocyte	61-65	0.939534255
Endothelial_cell	61-65	0.940274597
Ependymocyte	61-65	0.862753492
Microglia	61-65	1.132968593
Neuron	61-65	1.462760204
Oligodendrocyte	L61-65	0.939260664
OPC	61-65	1.274384297
Pericyte	61-65	0.588475797
Tanycyte	61-65	0.839746841
VLMC	61-65	1.055906307
