filtered_metadata.SAMPID	SV1	SV2	SV3	SV4	SV5	SV6	SV7	SV8	SV9	Groups
GTEX-12ZZX-0011-R8a-SM-5DUW8	-0.011499295	-0.168540782	-0.1593945	0.173776485	-0.084357985	-0.146482842	-0.177045867	0.077084703	0.0768527	2
GTEX-1313W-0011-R8a-SM-5DUVM	-0.007646731	-0.163748083	0.08925949	0.017424979	-0.07887245	0.113512005	-0.105569844	-0.069763054	-0.081327049	3
GTEX-131XW-0011-R8a-SM-5DUWY	0.363727083	-0.097635491	-0.076908519	0.028072341	0.192409098	0.021520844	-0.226568671	-0.128441321	0.266421339	3
GTEX-13OVJ-0011-R8b-SM-5L3FS	0.034734232	0.229415245	0.139989499	-0.243641883	0.165966548	-0.425975946	-0.457540513	0.404195398	-0.175846263	3
GTEX-13QIC-0011-R8b-SM-5O9CV	-0.16494529	-0.159780809	0.170987799	-0.023932184	-0.184032037	-0.077501899	-0.011832204	0.082061251	0.239192416	5
GTEX-13SLX-0011-R8b-SM-5PNWZ	-0.112352365	0.01536084	0.242385043	0.016239321	0.129616681	0.162508422	-0.349131359	-0.01164748	-0.035933433	4
GTEX-13X6K-0011-R8b-SM-5PNZ4	-0.248934779	-0.117531785	-0.123963331	0.004837805	-0.171509113	-0.095077541	0.305288684	0.334232837	-0.168775875	5
GTEX-145LS-0011-R8b-SM-5PNXA	-0.241637155	0.117384624	-0.353987901	0.456063794	0.145086666	-0.128414003	-0.158759487	-0.184706057	-0.028760005	5
GTEX-14PJM-0011-R8b-SM-69LPD	-0.032946457	-0.176634255	0.056220129	0.031886979	-0.097756412	0.216525656	-0.131206597	-0.116524684	0.037452148	4
GTEX-14PQA-0011-R8b-SM-6AJAB	0.009547586	0.083189324	-0.275789425	-0.091449592	0.180931786	-0.18206009	0.180797328	0.006921034	0.05074022	4
GTEX-15ER7-0011-R8a-SM-7KUL2	0.089411166	-0.213373321	-0.038524422	0.013750845	-0.316560061	0.103460324	0.112407474	0.169133063	0.000262354	1
GTEX-16NPV-0011-R8a-SM-7EPH8	-0.005001284	-0.046049296	-0.266258823	-0.195941131	0.092810571	-0.110854388	0.311084008	0.053032597	0.112668365	4
GTEX-17HG3-0011-R8a-SM-79OK7	0.074869996	-0.223786631	0.015032353	-0.113579167	-0.128383187	0.206535017	0.008258892	0.139401775	-0.160122259	1
GTEX-1B933-0011-R8a-SM-9QEGX	-0.208030399	-0.112826337	-0.257438822	0.222275862	0.034496575	-0.072217594	-0.133496534	0.011060239	-0.191250216	4
GTEX-1CB4H-0011-R8b-SM-CJI26	0.187507827	0.085932985	-0.0613122	-0.240616709	0.296404226	0.019206772	0.164976246	-0.074290116	-0.009339679	5
GTEX-1F48J-0011-R8a-SM-9OSWW	-0.239979746	-0.011461344	0.120138962	-0.062690993	-0.092456486	-0.180687548	0.124950498	0.011612819	0.092120291	3
GTEX-1F52S-0011-R8a-SM-9OSXA	-0.030270482	-0.132133577	-0.116883347	-0.304828917	0.280445955	0.156637452	0.026572455	-0.334676329	0.066406797	5
GTEX-1GMR8-0011-R8a-SM-CKZNX	-0.068420493	-0.050756408	0.099473736	-0.171979527	0.012660758	0.028891754	0.157074479	-0.173900897	-0.313472756	3
GTEX-1GZHY-0011-R8b-SM-9OSWK	0.05466871	-0.022867453	-0.133122566	-0.112342307	0.211237694	0.209755282	-0.055165591	0.39105298	-0.035122651	3
GTEX-1H1CY-0011-R8b-SM-CJI31	0.03582441	0.330326615	0.060344617	0.295043246	0.184374398	0.405018273	0.164889973	0.407945325	0.284644849	5
GTEX-1HBPH-0011-R8b-SM-CL556	-0.19036881	0.231013607	0.108547078	0.283689673	0.087102456	0.202332393	0.104116748	-0.189338887	-0.166888286	2
GTEX-1HCU6-0011-R8a-SM-CJI3R	0.02569643	-0.002245856	0.221244203	-0.080726457	0.084047097	0.183327141	0.049798292	-0.00068304	-0.278505591	5
GTEX-1J1OQ-0011-R8a-SM-ACKVE	-0.160437943	-0.077229426	0.064063548	-0.0598233	-0.017947529	-0.225359776	-0.05799962	-0.12875007	0.00974641	2
GTEX-Q2AG-0011-R8A-SM-2HMK5	0.025535591	-0.017152632	0.185868924	0.110148726	0.0073423	0.063438132	-0.00872891	-0.0904511	-0.268369791	1
GTEX-QDT8-0011-R8A-SM-32PKE	0.624409809	0.148213061	0.054131778	0.261335229	-0.223731072	-0.214453668	0.125047048	-0.054754069	-0.294414146	1
GTEX-RU72-0011-R8A-SM-2TF61	0.255985821	-0.106836251	-0.245088557	0.063369472	-0.034636882	-0.033942648	0.018635139	-0.086537069	0.016168739	4
GTEX-TSE9-0011-R8A-SM-3DB7R	0.110919451	-0.011402816	0.204815194	0.065611288	-0.091069255	-0.092607948	-0.056765319	-0.071228185	0.355782102	4
GTEX-WWYW-0011-R8A-SM-3NB3S	-0.098371239	0.307936483	0.320308308	-0.014178505	0.098987326	-0.248257674	0.278982032	-0.151842662	0.083209654	3
GTEX-X4EP-0011-R8B-SM-4QASL	-0.06464463	0.571072275	-0.295393092	-0.337554017	-0.540964576	0.216238957	-0.210956976	-0.148752991	0.056307532	5
GTEX-YFC4-0011-R8a-SM-4SOK3	0.012537729	-0.041488317	0.17802593	0.084611271	-0.145976544	-0.115589167	0.109825492	-0.014822807	0.325856927	2
GTEX-ZVZQ-0011-R8a-SM-51MR5	-0.019888744	-0.166364188	0.073228917	-0.074852627	0.004333455	0.040574309	-0.101937297	-0.0566232	0.134295156	5
