	condition	batch	SV1
L16_5443_S1	PH_intact	A	-0.095928917
L16_5444_S2	PH_intact	A	-0.128583969
L16_5445_S3	PH_intact	A	-0.128081602
L16_5446_S4	PH_14dOVX	A	-0.113852846
L16_5447_S5	PH_14dOVX	A	-0.125847191
L16_5448_S6	PH_14dOVX	A	-0.166587641
L16_5449_S7	PH_4mOVX	A	-0.165658184
L16_5450_S8	PH_4mOVX	A	-0.208081011
L16_5451_S9	PH_4mOVX	A	-0.022100324
L16_5452_S10	POA_intact	A	0.231103164
L16_5453_S11	POA_intact	A	0.182329708
L16_5454_S12	POA_intact	A	0.262111161
L16_5455_S13	POA_14dOVX	A	0.155194487
L16_5456_S14	POA_14dOVX	A	0.134170043
L16_5457_S15	POA_14dOVX	A	0.207764522
L16_5458_S16	POA_4mOVX	A	0.179810192
L16_5459_S17	POA_4mOVX	A	0.056791881
L16_5460_S18	POA_4mOVX	A	0.264846819
L534_11_S11	POA_intact	B	0.170742085
L534_12_S12	POA_intact	B	0.111604448
L534_13_S13	POA_14dOVX	B	0.098283414
L534_14_S14	POA_14dOVX	B	0.006198624
L534_15_S15	POA_14dOVX	B	0.261545312
L534_16_S16	POA_4mOVX	B	0.025905346
L534_17_S17	POA_4mOVX	B	0.227129461
L534_18_S18	POA_4mOVX	B	0.016763236
L534_2_S2	PH_intact	B	-0.236061327
L534_3_S3	PH_intact	B	-0.124283232
L534_4_S4	PH_14dOVX	B	-0.221466608
L534_6_S6	PH_14dOVX	B	-0.220708047
L534_7_S7	PH_4mOVX	B	-0.231964587
L534_8_S8	PH_4mOVX	B	-0.140147975
L534_9_S9	PH_4mOVX	B	-0.262940444
